hosp,cases,lineDays,sir,ciLow,ciHigh,area
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",5,2263,2.21,0.72,5.16,pediatric bone marrow transplant care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",0,996,0.00,0.00,3.01,pediatric bone marrow transplant care
STATE OF CALIFORNIA POOLED DATA,41,38262,1.07,,,adult oncology care
"ARROWHEAD RGN MED CTR, COLTON",1,463,2.16 0.05,12.03,,adult oncology care
"CEDARS-SINAI MED CTR, LOS ANGELES",0,597,0.00 0.00,5.02,,adult oncology care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",8,5096,1.57 0.68,3.09,,adult oncology care
"COMMUNITY REGIONAL MED CTR, FRESNO",5,1022,4.89 1.59,11.42,l,adult oncology care
"GOOD SAMARITAN HOSP, LP",0,1043,0.00 0.00,2.87,,adult oncology care
"MISSION OAKS HOSP, LOS GATOS",,,,,,adult oncology care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,adult oncology care
"KECK HOSP OF USC, LOS ANGELES",6,806,7.44 2.73,16.20,l,adult oncology care
"LAC+USC MED CTR, LOS ANGELES",0,111,0.00 0.00,26.99,,adult oncology care
LOMA LINDA UNIVERSITY MED CTR,0,862,0.00 0.00,3.48,,adult oncology care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,adult oncology care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,adult oncology care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,adult oncology care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",2,2919,0.69,0.08,2.48,adult oncology care
LOS ROBLES REGIONAL MED CTR,0,1294,0.00,0.00,2.32,adult oncology care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,adult oncology care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,adult oncology care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,adult oncology care
MERCY MED CTR REDDING,0,862,0.00,0.00,3.48,adult oncology care
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,443,0.00,0.00,6.76,adult oncology care
"PROVIDENCE TARZANA MED CTR, TARZANA",1,1348,0.74,0.02,4.13,adult oncology care
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,942,0.00,0.00,3.18,adult oncology care
"SAINT VINCENT MED CTR, LOS ANGELES",0,373,0.00,0.00,8.03,adult oncology care
SANTA BARBARA COTTAGE HOSPITAL,1,959,1.04,0.03,5.81,adult oncology care
SANTA BARBARA COTTAGE HOSP,,,,,,adult oncology care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,adult oncology care
SANTA ROSA MEMORIAL HOSP,0,2081,0.00 0.00,1.44,,adult oncology care
"SHARP MEMORIAL HOSP, SAN DIEGO",2,3202,0.62 0.08,2.26,,adult oncology care
ST BERNARDINE MED CTR,0,51,0.00 0.00,58.74,,adult oncology care
"ST JOSEPH HOSP, ORANGE",1,1367,0.73 0.02,4.08,,adult oncology care
"STANFORD HOSP, STANFORD",0,2789,0.00 0.00,1.07,,adult oncology care
SUTTER HEALTH SACRAMENTO SIERRA REGION,4,2430,1.65 0.45,4.21,,adult oncology care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,adult oncology care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,adult oncology care
SUTTER ROSEVILLE MED CTR,0,1434,0.00,0.00,2.09,adult oncology care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",0,913,0,0.00,3.28,adult oncology care
STATE OF CALIFORNIA POOLED DATA,81,56249,1.44,,,pediatric oncology care
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,2,4304,0.46,0.06,1.68,pediatric oncology care
"CHILDREN'S HOSP CENTRAL CA, MADERA",21,7181,2.92,1.81,4.47,pediatric oncology care
CHILDRENS HOSP OF LOS ANGELES,13,6146,2.12,1.13,3.62,pediatric oncology care
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",1,6613,0.15,0.00,0.84,pediatric oncology care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",12,4221,2.84,1.47,4.97,pediatric oncology care
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",6,3815,1.57,0.58,3.42,pediatric oncology care
KAISER FOUNDATION HOSPS,,,,,,pediatric oncology care
"KAISER FOUNDATION HOSP, FONTANA",2,680,2.94 0.36,10.62,,pediatric oncology care
LOMA LINDA UNIVERSITY MED CTR,7,6209,1.13 0.45,2.32,,pediatric oncology care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,pediatric oncology care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,pediatric oncology care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,pediatric oncology care
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",5,5088,0.98,0.32,2.29,pediatric oncology care
"RADY CHILDREN'S HOSP, SAN DIEGO",1,6925,0.14,0.00,0.80,pediatric oncology care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",11,5067,2.17,1.08,3.88,pediatric oncology care
"UCSF MED CTR, SAN FRANCISCO",,,,,,pediatric oncology care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,pediatric oncology care
STATE OF CALIFORNIA POOLED DATA,6,3237,1.85,,,adult solid organ transplant care
"KECK HOSP OF USC, LOS ANGELES",0,17,,,,adult solid organ transplant care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",0,80,0.00 0.00,37.45,,adult solid organ transplant care
LOMA LINDA UNIVERSITY MED CTR,0,333,0.00 0.00,9.00,,adult solid organ transplant care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,adult solid organ transplant care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,adult solid organ transplant care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,adult solid organ transplant care
RIVERSIDE COMMUNITY HOSP,0,10,,,,adult solid organ transplant care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",3,1139,2.63 0.54,7.70,,adult solid organ transplant care
"SAINT VINCENT MED CTR, LOS ANGELES",0,226,0.00 0.00,13.26,,adult solid organ transplant care
"SHARP MEMORIAL HOSP, SAN DIEGO",1,449,2.23 0.06,12.41,,adult solid organ transplant care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2,983,2.03 0.25,7.35,,adult solid organ transplant care
"UCSF MED CTR, SAN FRANCISCO",,,,,,adult solid organ transplant care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,adult solid organ transplant care
STATE OF CALIFORNIA POOLED DATA,92,37299,2.47,,,bone marrow transplant care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",32,14915,2.15,1.47,3.03,bone marrow transplant care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",27,5629,4.80,3.16,6.98,bone marrow transplant care
"SCRIPPS GREEN HOSP, LA JOLLA",0,804,0.00,0.00,3.73,bone marrow transplant care
"STANFORD HOSP, STANFORD",0,3539,0.00,0.00,0.85,bone marrow transplant care
SUTTER HEALTH SACRAMENTO SIERRA REGION,2,3863,0.52,0.06,1.87,bone marrow transplant care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",11,3026,3.64,1.81,6.50,bone marrow transplant care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",20,5523,3.62,2.21,5.59,bone marrow transplant care
STATE OF CALIFORNIA POOLED DATA,8,3776,2.12,,,pediatric bone marrow transplant care
CHILDRENS HOSP OF LOS ANGELES,0,1062,0.00,0.00,2.82,pediatric bone marrow transplant care
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",0,308,0.00,0.00,9.73,pediatric bone marrow transplant care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",8,2406,3.33,1.44,6.55,pediatric bone marrow transplant care
STATE OF CALIFORNIA POOLED DATA,125,67139,1.86,,,adult oncology care
"ARROWHEAD RGN MED CTR, COLTON",7,1285,5.45,2.19,11.22,adult oncology care
"CEDARS-SINAI MED CTR, LOS ANGELES",4,6321,0.63,0.17,1.62,adult oncology care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",18,8990,2.00,1.19,3.16,adult oncology care
"COMMUNITY REGIONAL MED CTR, FRESNO",2,642,3.12,0.38,11.25,adult oncology care
"GOOD SAMARITAN HOSP, LP",2,639,3.13,0.38,11.31,adult oncology care
"MISSION OAKS HOSP, LOS GATOS",,,,,,adult oncology care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,adult oncology care
"KECK HOSP OF USC, LOS ANGELES",16,4889,3.27,1.87,5.31,adult oncology care
"LAC+USC MED CTR, LOS ANGELES",8,2616,3.06,1.32,6.03,adult oncology care
LOMA LINDA UNIVERSITY MED CTR,3,1654,1.81,0.37,5.30,adult oncology care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,adult oncology care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,adult oncology care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,adult oncology care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",0,2555,0.00,0.00,1.17,adult oncology care
LOS ROBLES REGIONAL MED CTR,2,1724,1.16,0.14,4.19,adult oncology care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,adult oncology care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,adult oncology care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,adult oncology care
MERCY MED CTR REDDING,1,1601,0.62,0.02,3.48,adult oncology care
"MERCY SAN JUAN MED CTR, CARMICHAEL",3,4148,0.72,0.15,2.11,adult oncology care
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,463,0.00,0.00,6.47,adult oncology care
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",3,816,3.68,0.76,10.74,adult oncology care
"SAINT VINCENT MED CTR, LOS ANGELES",0,593,0.00,0.00,5.05,adult oncology care
SAN FRANCISCO GENERAL HOSP,0,1212,0.00,0.00,2.47,adult oncology care
SANTA BARBARA COTTAGE HOSPITAL,2,1613,1.24,0.15,4.48,adult oncology care
SANTA BARBARA COTTAGE HOSP,,,,,,adult oncology care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,adult oncology care
SANTA ROSA MEMORIAL HOSP,0,1600,0.00,0.00,1.87,adult oncology care
"SHARP MEMORIAL HOSP, SAN DIEGO",3,3064,0.98,0.20,2.86,adult oncology care
ST BERNARDINE MED CTR,0,627,0.00,0.00,4.78,adult oncology care
"ST JOSEPH HOSP, ORANGE",3,2234,1.34,0.28,3.92,adult oncology care
"STANFORD HOSP, STANFORD",6,4931,1.22,0.45,2.65,adult oncology care
SUTTER HEALTH SACRAMENTO SIERRA REGION,1,390,2.56,0.06,14.29,adult oncology care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,adult oncology care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,adult oncology care
SUTTER ROSEVILLE MED CTR,0,1369,0.00,0.00,2.19,adult oncology care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",1,1729,0.58,0.01,3.22,adult oncology care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",40,9434,4.24,3.03,5.77,adult oncology care
"UCSF MED CTR, SAN FRANCISCO",,,,,,adult oncology care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,adult oncology care
STATE OF CALIFORNIA POOLED DATA,38,16627,2.29,,,pediatric oncology care
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,0,441,0.00 0.00,6.79,,pediatric oncology care
"CHILDREN'S HOSP CENTRAL CA, MADERA",3,599,5.01 1.03,14.64,,pediatric oncology care
CHILDRENS HOSP OF LOS ANGELES,9,4969,1.81 0.83,3.44,,pediatric oncology care
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",2,906,2.21 0.27,7.97,,pediatric oncology care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",3,1178,2.55 0.53,7.44,,pediatric oncology care
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",1,738,1.36 0.03,7.55,,pediatric oncology care
"KAISER FOUNDATION HOSP, FONTANA",0,314,0.00,0.00,9.54,pediatric oncology care
LOMA LINDA UNIVERSITY MED CTR,4,2824,1.42,0.39,3.63,pediatric oncology care
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",4,2037,1.96 0.54,5.03,,pediatric oncology care
"RADY CHILDREN'S HOSP, SAN DIEGO",0,960,0.00 0.00,3.12,,pediatric oncology care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",12,1661,7.2 3.73,12.62,,pediatric oncology care
STATE OF CALIFORNIA POOLED DATA,16,14671,1.09,,,adult solid organ transplant care
"KECK HOSP OF USC, LOS ANGELES",5,2698,1.85 0.60,4.32,,adult solid organ transplant care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",0,235,0.00 0.00,12.75,,adult solid organ transplant care
LOMA LINDA UNIVERSITY MED CTR,1,1369,0.73 0.02,4.07,,adult solid organ transplant care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,adult solid organ transplant care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,adult solid organ transplant care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,adult solid organ transplant care
RIVERSIDE COMMUNITY HOSP,3,2223,1.35,0.28,3.94,adult solid organ transplant care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",5,3635,1.38,0.45,3.21,adult solid organ transplant care
"SAINT VINCENT MED CTR, LOS ANGELES",1,393,2.54,0.06,14.18,adult solid organ transplant care
"SHARP MEMORIAL HOSP, SAN DIEGO",1,2078,0.48,0.01,2.68,adult solid organ transplant care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",0,2040,0.00,0.00,1.47,adult solid organ transplant care
"UCSF MED CTR, SAN FRANCISCO",,,,,,adult solid organ transplant care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,adult solid organ transplant care
