hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"KAWEAH DELTA MED CTR, VISALIA",0,145,0.00,0.00,20.66,97.7,critical care for neonates weighing between 1001 and 1500 grams at birth
"KERN MED CTR, BAKERSFIELD",0,638,0.00,0.00,4.70,96.5,critical care for neonates weighing between 1001 and 1500 grams at birth
"LAC+USC MED CTR, LOS ANGELES",0,547,0.00,0.00,5.48,99.3,critical care for neonates weighing between 1001 and 1500 grams at birth
"LAC/HARBOR-UCLA MED CTR, TORRANCE",0,625,0.00,0.00,4.79,90.6,critical care for neonates weighing between 1001 and 1500 grams at birth
LOMA LINDA UNIVERSITY MED CTR,2,1475,1.36,0.16,4.90,78.8,critical care for neonates weighing between 1001 and 1500 grams at birth
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,79,0.00,0.00,37.92,100,critical care for neonates weighing between 1001 and 1500 grams at birth
LOS ROBLES REGIONAL MED CTR,0,10,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",1,1045,0.96,0.02,5.33,99.6,critical care for neonates weighing between 1001 and 1500 grams at birth
MARIAN REGIONAL MEDICAL CENTER,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
MARIAN REGIONAL MEDICAL CENTER,0,47,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
MERCY MED CTR REDDING,1,147,6.80,0.17,37.90,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"MERCY SAN JUAN MED CTR, CARMICHAEL",0,516,0.00,0.00,5.81,98.7,critical care for neonates weighing between 1001 and 1500 grams at birth
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",0,58,0.00,0.00,51.65,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"NATIVIDAD MED CTR, SALINAS",0,22,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
NORTHBAY HEALTHCARE GROUP,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"NORTHBAY MED CTR, FAIRFIELD",0,80,0.00,0.00,37.45,100,critical care for neonates weighing between 1001 and 1500 grams at birth
NORTHRIDGE HOSP MED CTR,0,149,0.00,0.00,20.11,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"O'CONNOR HOSP, SAN JOSE",0,45,,,94.4,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,34,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,84,0.00,0.00,35.66,87.5,critical care for neonates weighing between 1001 and 1500 grams at birth
"POMONA VALLEY HOSP MED CTR, POMONA",2,816,2.45,0.30,8.85,96.6,critical care for neonates weighing between 1001 and 1500 grams at birth
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",0,262,0.00,0.00,11.43,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",0,87,0.00,0.00,34.43,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,49,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"PROVIDENCE TARZANA MED CTR, TARZANA",0,104,0.00,0.00,28.81,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"QUEEN OF THE VALLEY MED CTR, NAPA",0,13,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"RADY CHILDREN'S HOSP, SAN DIEGO",1,604,1.66,0.04,9.22,90.4,critical care for neonates weighing between 1001 and 1500 grams at birth
REDLANDS COMMUNITY HOSP,0,87,0.00,0.00,34.43,94.6,critical care for neonates weighing between 1001 and 1500 grams at birth
RIVERSIDE COMMUNITY HOSP,0,327,0.00,0.00,9.16,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",1,525,1.90,0.05,10.61,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",0,471,0.00,0.00,6.36,98.3,critical care for neonates weighing between 1001 and 1500 grams at birth
SADDLEBACK MEMORIAL MED CTR,0,37,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SAINT FRANCIS MED CTR, LYNWOOD",0,221,0.00,0.00,13.56,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,8,,,ND,,critical care for neonates weighing between 1001 and 1500 grams at birth
SALINAS VALLEY MEMORIAL HOSP,0,108,0.00,0.00,27.74,92.3,critical care for neonates weighing between 1001 and 1500 grams at birth
"SAN ANTONIO COMMUNITY HOSP, UPLAND",1,275,3.64,0.09,20.26,98.4,critical care for neonates weighing between 1001 and 1500 grams at birth
SAN FRANCISCO GENERAL HOSP,0,40,,,ND,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",0,19,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",0,194,0.00,0.00,15.44,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"SAN JOAQUIN GENERAL HOSP, FRENCH P",0,115,0.00,0.00,26.05,100,critical care for neonates weighing between 1001 and 1500 grams at birth
SANTA BARBARA COTTAGE HOSPITAL,0,58,0.00,0.00,51.65,100,critical care for neonates weighing between 1001 and 1500 grams at birth
SANTA BARBARA COTTAGE HOSP,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,167,0.00,0.00,17.94,97.6,critical care for neonates weighing between 1001 and 1500 grams at birth
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,335,0.00,0.00,8.94,100,critical care for neonates weighing between 1001 and 1500 grams at birth
SANTA ROSA MEMORIAL HOSP,0,63,0.00,0.00,47.55,100,critical care for neonates weighing between 1001 and 1500 grams at birth
SCRIPPS HEALTH,0,10,,,ND,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",0,1457,0.00,0.00,2.06,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,86,0.00,0.00,34.83,100,critical care for neonates weighing between 1001 and 1500 grams at birth
SIMI VALLEY HOSP & HEALTH CARE SERVICES,0,22,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
ST BERNARDINE MED CTR,1,185,5.41,0.14,30.12,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,155,0.00,0.00,19.33,100,critical care for neonates weighing between 1001 and 1500 grams at birth
ST JOSEPH HOSP EUREKA,,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ST JOSEPH HOSP, EUREKA",0,3,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
ST JOSEPH'S MED CTR OF STOCKTON,0,13,,,78.6,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ST JUDE MED CTR, FULLERTON",0,83,0.00,0.00,36.09,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"ST MARY MED CTR, APPLE VALLEY",0,175,0.00,0.00,17.12,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"ST MARY MED CTR, LONG BEACH",0,130,0.00,0.00,23.04,98.0,critical care for neonates weighing between 1001 and 1500 grams at birth
SUTTER EAST BAY HOSPS CTR,0,1046,0.00,0.00,2.86,98.6,critical care for neonates weighing between 1001 and 1500 grams at birth
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
SUTTER HEALTH SACRAMENTO SIERRA REGION,1,397,2.52,0.06,14.03,99.0,critical care for neonates weighing between 1001 and 1500 grams at birth
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
SUTTER MED CTR OF SANTA ROSA,0,116,0.00,0.00,25.83,100,critical care for neonates weighing between 1001 and 1500 grams at birth
SUTTER ROSEVILLE MED CTR,0,32,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
SUTTER WEST BAY HOSPS,0,443,0.00,0.00,6.76,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,140,0.00,0.00,21.40,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"TRI-CITY MED CTR, OCEANSIDE",0,118,0.00,0.00,25.39,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",0,268,0.00,0.00,11.18,96.6,critical care for neonates weighing between 1001 and 1500 grams at birth
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",0,352,0.00,0.00,8.51,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1,663,1.5,0.04,8.40,100,critical care for neonates weighing between 1001 and 1500 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",1,424,2.4,0.06,13.14,94.7,critical care for neonates weighing between 1001 and 1500 grams at birth
"UCSF MED CTR, SAN FRANCISCO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,critical care for neonates weighing between 1001 and 1500 grams at birth
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,201,0.0,0.00,14.90,95.2,critical care for neonates weighing between 1001 and 1500 grams at birth
WEST HILLS HOSP AND MED CTR,0,9,,,100,,critical care for neonates weighing between 1001 and 1500 grams at birth
WESTERN MED CTR SANTA ANA,0,80,0.0,0.00,37.45,86.4,critical care for neonates weighing between 1001 and 1500 grams at birth
"WHITE MEMORIAL MED CTR, LOS ANGELES",2,35,,,73.3,,critical care for neonates weighing between 1001 and 1500 grams at birth
STATE OF CALIFORNIA POOLED DATA,19,36687,0.52,96.2,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",0,63,0.00,0.00,47.55,ND,critical care for neonates weighing between 1501 and 2500 grams at birth
"ANTELOPE VALLEY HOSP, LANCASTER",1,32,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ARROWHEAD RGN MED CTR, COLTON",0,134,0.00,0.00,22.36,100,critical care for neonates weighing between 1501 and 2500 grams at birth
BAKERSFIELD MEMORIAL HOSP,0,921,0.00,0.00,3.25,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,10,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"CEDARS-SINAI MED CTR, LOS ANGELES",1,458,2.18,0.06,12.17,95.0,critical care for neonates weighing between 1501 and 2500 grams at birth
"CENTINELA HOSP MED CTR, INGLEWOOD",0,40,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,0,645,0.00,0.00,4.64,93.2,critical care for neonates weighing between 1501 and 2500 grams at birth
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",0,96,0.00,0.00,31.21,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"CHILDREN'S HOSP CENTRAL CA, MADERA",0,1873,0.00,0.00,1.60,99.2,critical care for neonates weighing between 1501 and 2500 grams at birth
CHILDRENS HOSP OF LOS ANGELES,0,2156,0.00,0.00,1.39,ND,critical care for neonates weighing between 1501 and 2500 grams at birth
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",1,894,1.12,0.03,6.23,99.5,critical care for neonates weighing between 1501 and 2500 grams at birth
"CITRUS VALLEY MED CTR, INC.",0,839,0.00,0.00,3.57,97.7,critical care for neonates weighing between 1501 and 2500 grams at birth
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
COMMUNITY HOSP OF SAN BERNARDINO,0,4,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,32,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"COMMUNITY REGIONAL MED CTR, FRESNO",0,477,0.00,0.00,6.28,86.4,critical care for neonates weighing between 1501 and 2500 grams at birth
COUNTY OF VENTURA,0,69,0.00,0.00,43.42,96.6,critical care for neonates weighing between 1501 and 2500 grams at birth
VENTURA COUNTY MED CTR,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"DAMERON HOSP, STOCKTON",0,27,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,34,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
DIGNITY HEALTH,0,70,0.00,0.00,42.80,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
DIGNITY HEALTH,0,141,0.00,0.00,21.25,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"MERCY HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"DOCTORS MED CTR, MODESTO",0,130,0.00,0.00,23.04,90.2,critical care for neonates weighing between 1501 and 2500 grams at birth
DOWNEY REGIONAL MED CTR,0,28,,,97.4,,critical care for neonates weighing between 1501 and 2500 grams at birth
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",1,1980,0.51,0.01,2.81,100,critical care for neonates weighing between 1501 and 2500 grams at birth
EL CAMINO HOSP,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"EL CAMINO HOSP, MOUNTAIN VIEW",0,256,0.00,0.00,11.70,97.6,critical care for neonates weighing between 1501 and 2500 grams at birth
ENLOE MED CTR,0,6,,,ND,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ENLOE MED CTR-COHASSET, CHICO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ENLOE REHABILITATION CTR, CHICO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,249,0.00,0.00,12.03,90.9,critical care for neonates weighing between 1501 and 2500 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"GARFIELD MED CTR, MONTEREY PARK",0,40,,,57.1,,critical care for neonates weighing between 1501 and 2500 grams at birth
GLENDALE ADVENTIST MED CTR,0,806,0.00,0.00,3.72,98.6,critical care for neonates weighing between 1501 and 2500 grams at birth
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,15,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"GOOD SAMARITAN HOSP, LOS ANGELES",0,557,0.00,0.00,5.38,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"GOOD SAMARITAN HOSP, LP",0,106,0.00,0.00,28.26,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"MISSION OAKS HOSP, LOS GATOS",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"GROSSMONT HOSP, LA MESA",0,37,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",0,241,0.00,0.00,12.43,98.8,critical care for neonates weighing between 1501 and 2500 grams at birth
"HOAG HOSPITAL, IRVINE",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,482,0.00,0.00,6.22,97.5,critical care for neonates weighing between 1501 and 2500 grams at birth
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,0,84,0.00,0.00,35.66,90.0,critical care for neonates weighing between 1501 and 2500 grams at birth
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,279,0.00,0.00,10.74,92.4,critical care for neonates weighing between 1501 and 2500 grams at birth
"JOHN MUIR MED CTR, WALNUT CREEK",0,203,0.00,0.00,14.76,95.9,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, BALDWIN PARK",0,11,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,160,0.00,0.00,18.72,94.5,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, LOS ANGELES",0,421,0.00,0.00,7.12,91.8,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,233,0.00,0.00,12.86,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, RIVERSIDE",0,125,0.00,0.00,23.97,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, ROSEVILLE",0,368,0.00,0.00,8.14,74.6,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, SAN DIEGO",0,168,0.00,0.00,17.83,98.8,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,114,0.00,0.00,26.28,100,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSP-SANTA CLARA,0,98,0.00,0.00,30.57,98.5,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSP-WALNUT CREEK,0,237,0.00,0.00,12.64,86.1,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",0,71,0.00,0.00,42.19,62.9,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, WOODLAND HILLS",0,29,,,50.0,,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSPS,0,98,0.00,0.00,30.57,75.0,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSPS,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, IRVINE",0,41,,,80.0,,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, FONTANA",0,428,0.00,0.00,7.00,89.7,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, ONTARIO",0,24,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSPS,0,229,0.00,0.00,13.08,82.6,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, FREMONT",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
KAISER FOUNDATION HOSPS,0,238,0.00,0.00,12.59,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"KAWEAH DELTA MED CTR, VISALIA",0,296,0.00,0.00,10.12,97.7,critical care for neonates weighing between 1501 and 2500 grams at birth
"KERN MED CTR, BAKERSFIELD",0,277,0.00,0.00,10.81,96.5,critical care for neonates weighing between 1501 and 2500 grams at birth
"LAC+USC MED CTR, LOS ANGELES",0,320,0.00,0.00,9.36,99.3,critical care for neonates weighing between 1501 and 2500 grams at birth
"LAC/HARBOR-UCLA MED CTR, TORRANCE",0,395,0.00,0.00,7.58,90.6,critical care for neonates weighing between 1501 and 2500 grams at birth
LOMA LINDA UNIVERSITY MED CTR,0,1901,0.00,0.00,1.58,78.8,critical care for neonates weighing between 1501 and 2500 grams at birth
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,200,0.00,0.00,14.98,100,critical care for neonates weighing between 1501 and 2500 grams at birth
LOS ROBLES REGIONAL MED CTR,0,86,0.00,0.00,34.83,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",0,1531,0.00,0.00,1.96,99.6,critical care for neonates weighing between 1501 and 2500 grams at birth
MARIAN REGIONAL MEDICAL CENTER,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
MARIAN REGIONAL MEDICAL CENTER,0,2,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
MERCY MED CTR REDDING,0,36,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"MERCY SAN JUAN MED CTR, CARMICHAEL",1,313,3.19,0.08,17.80,98.7,critical care for neonates weighing between 1501 and 2500 grams at birth
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",0,28,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"NATIVIDAD MED CTR, SALINAS",0,5,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
NORTHBAY HEALTHCARE GROUP,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"NORTHBAY MED CTR, FAIRFIELD",0,46,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
NORTHRIDGE HOSP MED CTR,0,41,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"O'CONNOR HOSP, SAN JOSE",0,29,,,94.4,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,36,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,135,0.00,0.00,22.19,87.5,critical care for neonates weighing between 1501 and 2500 grams at birth
"POMONA VALLEY HOSP MED CTR, POMONA",0,930,0.00,0.00,3.22,96.6,critical care for neonates weighing between 1501 and 2500 grams at birth
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",1,170,5.88,0.15,32.77,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",0,20,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,22,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"PROVIDENCE TARZANA MED CTR, TARZANA",0,63,0.00,0.00,47.55,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"QUEEN OF THE VALLEY MED CTR, NAPA",0,74,0.00,0.00,40.48,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"RADY CHILDREN'S HOSP, SAN DIEGO",2,2134,0.94,0.11,3.39,90.4,critical care for neonates weighing between 1501 and 2500 grams at birth
REDLANDS COMMUNITY HOSP,0,74,0.00,0.00,40.48,94.6,critical care for neonates weighing between 1501 and 2500 grams at birth
RIVERSIDE COMMUNITY HOSP,0,170,0.00,0.00,17.62,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",1,351,2.85,0.07,15.87,100,critical care for neonates weighing between 1501 and 2500 grams at birth
